Ind;Sumatoria;promedio_compañeros;multiplicacion;saber11_red;rendimiento_actual;multiplicacion_promedio;rendimiento_red;saber_individual;Genero;Estrato;edad2016;programa;pilopaga;ciudad_colegio_agrupado;nota5;nota3
X1;0;49.572;0;0;3.276471;0;0;67.6;1;2;18;0;1;1;2;1
X2;7;69.52728;437.2811;62.46872857;4.411111;25.636708;3.662386857;84.2;1;2;17;1;0;0;5;3
X3;5;53.05714;320.59873;64.119746;3.2;17.887501;3.5775002;72.8;1;3;17;1;1;0;1;1
X4;29;67.55247;1710.11946;58.96963655;2.922222;109.802068;3.786278207;59;1;6;18;1;0;1;1;1
X5;9;67.66386;450.6265;50.06961111;4.333333;38.477777;4.275308556;78.8;1;3;17;1;0;2;5;3
X6;3;52.33091;161.41504;53.80501333;3.529412;10.552941;3.517647;70.6;0;1;17;0;1;1;2;2
X7;0;71.02449;0;0;3.955555;0;0;71.6;0;3;18;1;0;2;4;2
X8;6;74.61429;378.31909;63.05318167;3.355556;23.520834;3.920139;71.8;1;2;17;1;1;0;2;1
X9;6;60.04;382.31808;63.71968;3.455555;22.892157;3.8153595;61.2;1;3;18;1;0;0;2;1
X10;6;53.875;374.27065;62.37844167;3.171429;21.992157;3.6653595;66.4;1;2;18;1;1;1;1;1
X11;0;44.36364;0;0;2.529412;0;0;64.2;1;1;17;0;1;0;1;1
X12;9;65.72667;455.39615;50.59957222;4.277778;32.607189;3.623021;65.8;0;3;17;1;1;2;4;3
X13;5;66.51273;270.77204;54.154408;4.788889;22.377778;4.4755556;83;1;4;18;1;0;1;5;3
X14;0;62.00689;0;0;3.411111;0;0;65.4;1;4;18;1;0;1;2;1
X15;7;49.06297;423.65359;60.52194143;3.477778;27.444445;3.920635;65.8;0;2;17;1;1;1;2;1
X16;3;62.42553;129.82356;43.27452;4.477778;13.4;4.466666667;81.8;1;5;17;1;0;1;5;3
X17;6;51.8371;401.09628;66.84938;3.488889;23.387501;3.897916833;64.6;1;6;23;1;0;2;2;2
X18;0;56.55789;0;0;3.123077;0;0;66.4;1;3;18;0;1;0;1;1
X19;6;62.25385;374.12103;62.353505;3.288889;21.671429;3.611904833;74.8;1;3;19;1;0;1;2;1
X20;18;66.01184;1076.88426;59.82690333;3.611111;69.393849;3.855213833;67.6;1;4;18;1;0;1;3;2
X21;5;60.035;313.88559;62.777118;3.844445;19.388889;3.8777778;63.4;1;3;17;1;0;0;3;2
X22;0;72.21639;0;0;4.357143;0;0;67.2;1;5;18;1;0;1;5;3
X23;8;0;464.68612;58.085765;4.455555;34.422222;4.30277775;84;0;6;18;1;0;0;5;3
X24;6;51.69043;354.90312;59.15052;3.488889;23.212698;3.868783;66.2;0;3;17;1;1;1;2;2
X25;0;61.61897;0;0;3.488889;0;0;60.2;1;6;18;1;0;1;2;2
X26;9;70.30128;434.82172;48.31352444;4.188889;39.522221;4.391357889;67.2;0;3;17;1;0;1;4;3
X27;9;68.76572;458.42036;50.93559556;4.222222;38.499999;4.277777667;77.8;0;3;17;1;0;1;4;3
X28;2;67.39803;62.42553;31.212765;4.466667;8.933333;4.4666665;74;1;5;17;1;0;1;5;3
X29;2;60.38462;129.369;64.6845;3.844445;8.131945;4.0659725;70.4;1;2;18;1;1;0;3;2
X30;6;0;342.77087;57.12847833;4.344444;26.288888;4.381481333;73;1;5;18;1;0;1;5;3
